115,26,32,34,29,26,32,19,25,27,18,23,27,22,17,21,31,34,23,38,30,21,19,28,25,35,34,24,13,26,41,28
116,7,9,8,9,7,16,12,8,15,1,8,10,10,4,7,9,9,10,22,6,9,6,10,10,7,16,11,8,16,9,8
117,20,17,20,14,31,21,14,17,14,16,17,23,15,14,28,25,21,13,29,29,12,20,20,18,16,12,19,15,19,12,11
118,2,2,1,0,1,0,0,0,1,3,3,3,0,0,0,0,2,1,1,0,0,1,2,0,0,6,1,1,4,1,2
119,55,58,78,59,79,75,85,93,64,64,70,86,75,103,76,69,56,72,69,77,109,69,65,58,75,66,84,87,73,69,71
120,62,53,52,63,84,85,61,68,57,80,70,97,89,85,67,61,68,85,94,84,83,68,57,55,74,61,83,79,66,51,67
121,19,19,16,16,21,18,16,16,12,16,24,33,16,14,18,7,19,12,23,18,10,16,14,18,11,25,29,9,19,8,17
122,14,7,7,10,16,6,6,14,12,15,7,15,12,10,11,13,8,10,14,9,7,6,10,14,8,14,7,11,3,14,9
123,16,12,12,11,9,17,6,11,4,12,12,10,7,6,11,7,12,14,13,15,9,12,13,10,11,7,13,10,10,6,8
124,15,13,18,16,28,20,17,18,16,14,10,20,11,19,9,23,19,13,27,20,18,12,13,9,20,20,21,11,15,18,16
125,11,3,6,4,8,7,5,3,3,4,7,6,9,12,4,6,2,5,9,5,4,6,2,1,6,8,6,5,5,5,6
126,11,6,10,9,12,5,13,8,14,14,1,13,10,9,2,9,7,15,8,17,4,12,16,9,6,8,22,12,9,18,8
127,4,2,1,3,2,3,0,1,1,1,0,1,0,2,0,5,0,1,5,1,0,0,3,0,0,0,2,2,2,3,1
128,5,7,3,2,7,3,3,1,2,3,2,5,1,1,2,7,7,3,3,4,0,1,4,1,2,2,0,1,1,6,3
129,19,15,11,18,13,21,11,15,10,16,13,23,20,15,20,22,20,12,24,23,13,17,16,14,16,26,14,23,20,10,16
130,42,56,48,42,45,31,40,43,48,40,38,33,45,26,29,38,34,44,35,26,20,28,36,53,45,45,34,21,45,39,47
131,7,9,11,4,7,2,13,4,6,15,14,7,9,10,8,9,16,5,10,12,12,4,9,7,6,11,5,6,7,8,12
132,15,13,25,15,20,28,18,26,17,22,16,21,24,18,17,18,21,26,24,29,24,18,23,28,32,16,21,17,19,24,25
133,0,2,0,2,1,2,1,1,2,2,0,2,3,0,5,1,2,3,2,6,1,3,0,3,1,1,2,2,1,1,0
134,34,28,29,43,49,35,46,41,40,40,39,30,39,44,48,33,19,41,37,32,40,38,41,41,38,33,37,58,28,29,37
135,30,35,33,32,34,41,33,23,31,29,36,40,43,31,32,18,43,40,44,30,31,41,23,22,27,47,28,36,31,26,36
136,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,15
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
138,8,10,9,6,14,13,13,20,14,19,17,17,15,15,16,11,18,16,16,16,15,13,10,11,6,11,18,7,6,21,9
139,11,13,9,9,14,10,18,5,9,6,12,13,9,11,14,6,10,10,12,14,22,11,10,17,12,16,9,13,8,9,10
140,37,25,29,32,29,43,26,37,40,41,33,33,29,20,28,31,29,29,34,38,26,32,23,27,28,29,38,22,33,28,48
141,14,7,16,16,6,13,10,16,9,10,9,8,12,10,17,15,22,15,15,16,12,15,16,13,9,19,13,15,14,18,11
